,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,airmass,magextinct,Tmag,Nmag,alpha,lunar_elong,lunar_illum,Sky_motion,Sky_mot_PA,RelVel-ANG,target,H,G,V,surfbright,M2,k2,phasecoeff
0,8P/Tuttle,2025-07-01 00:00:00,2460857.5,14.6,,4.5,m,277.28624,-11.67985,2.46,0.368,23.413,,1.3127,108.7,32.2201,0.2788851,273.95819,10.85356,90000179,,,,,,,
1,8P/Tuttle,2025-07-01 00:15:00,2460857.510416667,14.6,,4.5,m,277.28505,-11.67976,2.185,0.326,23.413,,1.3129,108.6,32.289,0.2791345,273.95712,10.876089,90000179,,,,,,,
2,8P/Tuttle,2025-07-01 00:30:00,2460857.520833333,14.6,,4.5,m,277.28387,-11.67968,1.97,0.294,23.413,,1.3131,108.5,32.3597,0.2793765,273.95683,10.902036,90000179,,,,,,,
3,8P/Tuttle,2025-07-01 00:45:00,2460857.53125,14.6,,4.5,m,277.28268,-11.6796,1.799,0.269,23.413,,1.3133,108.4,32.4322,0.2796101,273.95733,10.931329,90000179,,,,,,,
4,8P/Tuttle,2025-07-01 01:00:00,2460857.541666667,14.6,,4.5,m,277.28149,-11.67951,1.661,0.248,23.413,,1.3135,108.3,32.5068,0.2798343,273.95859,10.963886,90000179,,,,,,,
5,8P/Tuttle,2025-07-01 01:15:00,2460857.552083333,14.6,,4.5,m,277.2803,-11.67943,1.548,0.231,23.413,,1.3137,108.2,32.5834,0.2800481,273.96061,10.999608,90000179,,,,,,,
6,8P/Tuttle,2025-07-01 01:30:00,2460857.5625,14.6,,4.5,m,277.27912,-11.67935,1.454,0.217,23.413,,1.3139,108.1,32.6622,0.2802506,273.96336,11.038386,90000179,,,,,,,
7,8P/Tuttle,2025-07-01 01:45:00,2460857.572916667,14.6,,4.5,m,277.27793,-11.67926,1.375,0.205,23.413,,1.3141,108.0,32.7432,0.2804408,273.96683,11.080098,90000179,,,,,,,
8,8P/Tuttle,2025-07-01 02:00:00,2460857.583333333,14.6,,4.5,m,277.27674,-11.67918,1.309,0.196,23.413,,1.3143,107.9,32.8266,0.2806179,273.97098,11.12461,90000179,,,,,,,
9,8P/Tuttle,2025-07-01 02:15:00,2460857.59375,14.6,,4.5,m,277.27554,-11.67909,1.254,0.187,23.413,,1.3145,107.8,32.9123,0.2807811,273.97579,11.17178,90000179,,,,,,,
